Model,Overall,Curb Ramp,Missing Ramp,Obstruction,Sfc Problem,Null
base,0.48588410104011887,0.5599999999999999,0.5123966942148761,0.3499999999999999,0.40366972477064217,0.45276292335115864
dc,0.7592867756315007,0.7665706051873199,0.651685393258427,0.3582089552238805,0.523076923076923,0.8226221079691517
only,0.8826151560178306,0.8657718120805369,0.7441860465116279,0.7,0.6779661016949153,0.9246813441483199
pt,0.9019316493313523,0.8982456140350877,0.7857142857142857,0.6666666666666667,0.7419354838709677,0.9388696655132641
