Model,Overall,Curb Ramp,Missing Ramp,Obstruction,Sfc Problem,Null
base,0.5637290604515659,0.5472222222222223,0.6683544303797468,0.4406779661016949,0.4809384164222873,0.5901328273244781
dc,0.7836853605243992,0.7647058823529412,0.796116504854369,0.4875,0.5454545454545454,0.8493333333333333
only,0.8055353241077932,0.8299319727891158,0.7790432801822322,0.4720496894409938,0.5686274509803921,0.8740839440373085
pt,0.8281136198106337,0.8468085106382979,0.8226950354609928,0.5824175824175823,0.6250000000000001,0.8831168831168831
