Model,Overall,Curb Ramp,Missing Ramp,Obstruction,Sfc Problem,Null
base,56.37290604515659,40.618556701030926,72.1311475409836,35.61643835616438,36.12334801762114,93.67469879518072
dc,78.36853605243991,75.51867219917013,82.0,55.714285714285715,64.28571428571429,81.87660668380462
only,80.55353241077931,88.83495145631069,75.33039647577093,53.52112676056338,64.44444444444444,84.21052631578947
pt,82.81136198106337,84.68085106382979,82.46445497630332,57.608695652173914,69.14893617021278,87.17948717948718
