Model,Overall,Curb Ramp,Missing Ramp,Obstruction,Sfc Problem,Null
base,48.588410104011885,40.54878048780488,39.24050632911392,22.58064516129032,29.72972972972973,97.6923076923077
dc,75.92867756315007,66.5,61.702127659574465,24.489795918367346,56.666666666666664,92.21902017291066
only,88.26151560178306,85.43046357615894,72.72727272727273,63.63636363636363,83.33333333333334,92.36111111111111
pt,90.19316493313522,92.7536231884058,78.57142857142857,53.333333333333336,85.18518518518519,93.34862385321101
