Model,Overall,Curb Ramp,Missing Ramp,Obstruction,Sfc Problem,Null
base,48.588410104011885,90.47619047619048,73.80952380952381,77.77777777777779,62.857142857142854,29.466357308584683
dc,75.92867756315007,90.47619047619048,69.04761904761905,66.66666666666666,48.57142857142857,74.24593967517401
only,88.26151560178306,87.75510204081633,76.19047619047619,77.77777777777779,57.14285714285714,92.5754060324826
pt,90.19316493313522,87.07482993197279,78.57142857142857,88.88888888888889,65.71428571428571,94.43155452436194
