Model,Overall,Curb Ramp,Missing Ramp,Obstruction,Sfc Problem,Null
base,56.37290604515659,83.82978723404256,62.264150943396224,57.77777777777777,71.9298245614035,43.07479224376731
dc,78.36853605243991,77.4468085106383,77.35849056603774,43.333333333333336,47.368421052631575,88.22714681440443
only,80.55353241077931,77.87234042553192,80.66037735849056,42.22222222222222,50.877192982456144,90.85872576177285
pt,82.81136198106337,84.68085106382979,82.0754716981132,58.88888888888889,57.01754385964912,89.47368421052632
